Disponibilita,Necessari,Scadenza,Dimensione,Utilizzati,Y
1139,87,3,100,302,0
904,706,13,100,607,71
3417,884,2,500,19,0
3362,505,19,100,823,120
636,92,12,1000,635,6
1950,150,19,500,371,10
2340,78,4,500,314,0
1492,639,8,500,847,10
319,449,0,500,180,0
2081,60,3,750,815,0
4797,736,2,100,772,0
2953,77,10,100,69,0
2536,811,13,100,10,0
2733,782,18,100,892,132
1086,50,13,100,876,95
4980,273,16,250,558,15
4289,256,20,750,365,4
1890,542,13,1000,960,10
3826,513,20,750,397,6
1793,973,12,500,527,10
4255,172,8,500,951,5
3116,903,5,100,390,0
3404,823,18,1000,890,13
3010,659,15,250,725,31
1159,716,14,250,747,37
3463,494,0,500,752,0
3091,77,20,100,260,19
167,985,15,100,951,141
2668,972,13,100,873,88
1824,162,11,500,78,0
4538,248,12,250,188,0
3897,155,6,1000,382,0
3658,737,17,1000,585,6
3167,12,0,100,590,0
3975,939,14,250,90,0
1528,756,15,250,938,49
1454,145,16,250,303,13
1943,433,7,100,966,43
4839,47,15,100,695,49
3810,582,4,250,759,0
2322,345,20,1000,883,15
747,402,6,100,460,20
435,423,13,100,80,9
833,853,7,500,211,3
646,572,12,750,34,0
2732,541,16,100,536,58
239,949,18,1000,838,15
332,631,8,750,890,9
2768,407,5,100,201,0
402,572,14,750,575,10
4570,814,3,500,566,0
3033,2,11,250,49,0
1732,331,4,500,6,0
1196,272,2,100,621,0
2785,316,17,750,134,0
4269,255,19,1000,403,3
896,359,19,250,416,28
4964,47,5,250,423,0
118,854,11,750,853,12
3243,432,12,500,445,4
2506,93,5,250,232,0
4814,511,3,250,517,0
304,550,17,500,233,8
3192,804,12,100,711,54
3757,714,16,100,678,71
2107,998,5,500,316,0
2948,267,6,250,666,3
3741,560,7,750,912,3
386,889,1,100,232,5
4196,367,14,250,746,23
3385,289,14,1000,461,3
2178,43,2,750,330,0
3650,52,19,750,607,10
527,759,5,500,191,2
847,551,14,100,233,27
2213,656,15,1000,179,1
4643,998,14,500,779,13
2485,728,13,100,282,16
1857,291,18,100,555,79
369,728,4,250,400,6
1961,495,6,100,244,0
2593,608,18,1000,143,0
3457,261,16,100,179,0
3290,684,13,1000,922,8
2907,737,3,750,578,0
4110,391,13,250,246,0
4622,139,17,750,610,7
4078,266,9,250,789,10
2319,613,1,1000,413,0
916,477,10,250,299,9
1870,554,15,750,378,5
2811,989,9,1000,197,0
593,114,10,1000,576,5
1545,220,12,500,600,11
1444,885,15,100,255,30
2698,373,17,750,137,0
1663,693,20,100,838,150
2133,733,20,500,287,8
1565,647,15,1000,182,2
1947,500,18,1000,366,5
4437,239,9,100,126,0
3299,188,6,1000,834,1
956,740,3,250,185,1
2353,529,7,250,237,0
197,432,9,500,79,2
3661,579,7,500,274,0
2260,461,2,500,140,0
380,350,14,500,953,25
1522,17,12,1000,12,0
610,194,15,100,469,62
3780,410,13,100,467,22
4751,57,16,750,211,0
166,472,15,750,102,2
1584,429,17,500,171,3
1866,961,3,500,268,0
822,590,13,1000,601,7
4396,446,18,500,654,14
3871,557,11,500,11,0
628,355,20,100,954,179
4430,559,5,500,719,0
1559,656,0,1000,222,0
612,216,8,1000,735,5
4684,813,1,250,921,0
1704,798,20,500,361,12
2628,106,19,250,12,0
195,241,1,250,369,0
2344,789,12,100,931,87
1957,500,18,750,102,0
721,300,12,500,812,17
2394,686,1,1000,663,0
4717,19,9,250,147,0
3866,838,14,250,282,3
556,797,11,100,495,52
2198,774,7,1000,300,0
3007,244,18,500,886,25
839,934,9,500,863,14
1934,645,16,250,997,55
4003,819,13,750,418,2
1365,812,2,250,266,0
1733,987,8,500,885,11
1439,404,13,100,910,99
4383,936,11,1000,215,0
2605,881,8,1000,830,4
915,587,5,1000,826,3
4592,947,14,250,395,6
3974,648,12,1000,533,3
2183,604,8,1000,146,0
3146,270,8,100,375,0
1416,152,11,750,378,3
1717,143,2,1000,543,0
2786,46,9,100,228,0
4441,122,15,1000,646,5
1810,805,20,100,676,118
14,669,2,500,370,2
903,857,8,250,37,1
3841,574,2,1000,419,0
2969,433,10,250,945,24
4701,654,17,500,673,13
2629,523,19,250,664,39
1292,887,9,100,383,27
3135,210,20,500,845,26
3624,546,12,100,147,0
2307,423,7,100,350,2
3165,718,19,100,300,30
1316,650,6,750,353,1
4820,297,16,100,256,0
3532,98,5,100,415,0
3141,771,12,1000,569,4
1505,592,4,750,430,1
4190,718,7,250,771,5
4245,539,5,750,263,0
3655,33,17,100,624,64
201,766,12,250,210,12
4064,925,18,250,511,22
1628,745,12,1000,11,0
3534,418,0,100,473,0
2004,1000,13,500,895,19
2044,42,7,500,856,6
2585,884,11,100,324,15
587,737,10,250,9,1
3810,433,9,500,981,9
3372,495,4,1000,300,0
2442,348,4,500,434,0
4908,609,10,100,1000,47
800,595,15,100,536,73
1482,256,5,500,194,0
4422,959,8,100,751,18
2297,480,4,1000,47,0
3887,14,18,1000,573,6
2191,294,7,750,863,4
3976,538,18,500,550,12
4946,919,11,250,755,14
892,101,11,250,198,5
2467,686,5,500,275,0
4580,651,4,250,705,0
2860,814,19,750,725,15
3997,957,14,500,834,16
1274,736,2,500,203,0
2215,636,17,250,973,56
3704,972,4,750,912,0
3436,366,9,1000,379,0
2643,765,10,250,874,24
1531,946,20,1000,719,13
3143,697,7,250,425,0
5,128,0,500,650,0
1528,449,7,750,910,6
2285,192,5,750,792,1
4567,804,20,750,853,17
4477,177,13,1000,420,1
3132,312,2,500,768,0
4623,576,1,1000,839,0
622,768,14,1000,931,12
3357,441,4,750,181,0
48,44,6,750,508,3
3677,611,12,500,854,13
982,744,12,250,239,10
502,936,7,100,365,26
782,610,20,1000,431,8
3995,706,3,500,964,0
718,141,20,750,138,3
4230,516,1,750,186,0
514,348,13,1000,329,4
704,413,20,1000,829,15
678,119,10,1000,36,0
3780,470,11,1000,613,3
3696,615,8,500,189,0
3866,948,11,250,26,0
2969,444,12,250,572,15
1599,49,7,250,581,8
903,416,11,500,603,11
3085,474,1,100,268,0
4854,917,0,750,946,0
4769,892,5,500,234,0
3799,595,15,1000,466,3
3753,381,9,100,326,0
4239,831,1,1000,188,0
4702,659,7,500,366,0
4217,848,12,100,988,75
3692,550,10,500,620,5
4673,212,1,500,289,0
2929,119,2,750,949,0
4766,865,5,250,280,0
2140,443,9,750,715,5
4191,162,13,1000,897,7
1760,541,12,750,354,4
3382,405,6,1000,206,0
303,264,11,500,927,18
259,422,11,1000,404,4
1135,523,4,750,179,0
1583,565,20,250,938,67
887,615,13,1000,477,5
2691,517,2,750,263,0
2178,200,3,1000,747,0
690,519,10,750,952,11
1453,326,12,250,142,2
1826,821,12,250,851,33
384,554,15,500,246,7
3865,759,6,750,722,1
4246,997,10,500,377,0
3137,969,19,750,561,11
1960,683,14,500,402,8
10,960,7,100,222,23
447,471,6,500,960,10
4077,62,1,100,698,0
4068,830,16,750,983,15
645,488,17,1000,959,15
4576,79,20,500,542,12
2605,558,17,500,606,15
134,291,7,250,392,10
673,306,15,750,470,8
339,925,16,100,341,57
1697,210,1,500,191,0
1324,509,11,250,216,5
1360,690,5,750,85,0
3252,61,14,250,413,9
3467,943,16,100,66,0
1158,298,10,500,923,15
2178,984,19,500,924,31
1765,615,9,100,65,0
2369,172,4,250,24,0
1873,986,9,100,360,20
566,166,19,750,773,18
4764,602,8,750,557,0
2282,940,14,1000,896,10
39,63,14,1000,171,2
692,39,11,1000,117,1
4014,489,12,500,605,6
2633,260,18,750,377,5
4802,207,14,750,438,1
2531,520,7,750,600,2
2708,52,8,1000,930,4
1917,79,1,250,453,0
4856,407,14,750,282,0
1210,6,1,250,960,0
4853,822,20,500,797,22
4185,663,14,1000,804,7
2026,731,14,750,651,10
1383,236,14,1000,716,8
3393,417,16,100,466,40
4150,614,2,750,918,0
1897,606,4,250,926,6
3859,18,14,750,373,1
199,905,14,750,540,10
2170,885,13,1000,86,0
3828,687,6,750,588,0
3058,634,5,250,736,2
463,766,3,1000,550,1
1140,403,9,1000,72,0
611,813,1,100,586,2
761,865,17,1000,429,7
1868,113,3,250,253,0
1516,935,5,250,985,13
888,332,1,750,656,0
2372,847,3,500,256,0
2957,766,16,500,215,2
1973,518,12,100,607,52
3656,341,9,1000,839,3
1960,458,12,250,308,8
3122,254,20,250,251,8
2002,398,6,100,286,0
4251,143,17,100,239,0
4668,66,3,500,79,0
1093,422,4,100,181,0
2290,456,20,500,655,21
3616,915,4,1000,808,0
1699,656,16,750,135,1
2625,95,12,250,648,18
438,793,6,250,658,15
1446,434,13,750,946,14
1479,254,16,250,98,1
4671,155,0,750,161,0
3500,172,10,1000,452,1
687,967,20,100,459,90
4692,612,13,250,571,11
2307,845,3,1000,815,0
4248,815,6,1000,115,0
2445,904,11,1000,412,3
3071,323,3,750,576,0
4913,63,19,1000,249,0
4536,943,8,100,967,32
2893,970,13,500,263,2
3793,465,6,500,534,0
1114,109,17,100,745,109
648,515,9,100,505,39
1523,405,9,500,276,2
1261,747,14,1000,207,2
3032,151,16,100,908,107
332,141,0,250,619,0
1697,823,18,500,530,16
3253,293,11,250,496,8
383,679,20,250,66,6
3647,496,11,1000,908,6
1608,769,9,500,303,3
2384,565,4,100,281,0
2253,819,6,250,635,7
2199,517,12,100,49,0
3645,77,15,250,862,34
4219,951,7,750,809,2
777,735,14,500,674,17
3264,971,11,750,160,0
1513,143,6,1000,932,3
199,455,7,500,15,1
1476,51,2,250,156,0
3510,946,20,1000,516,7
2455,550,0,1000,985,0
4576,687,20,100,374,32
752,125,7,250,301,5
899,882,13,250,539,26
1577,588,16,100,909,126
451,154,13,250,160,6
3547,600,12,100,734,51
55,67,20,250,852,65
4720,271,16,250,841,33
3931,613,12,500,893,13
1390,217,8,500,44,0
1313,342,3,1000,591,0
3497,827,4,100,776,0
241,80,10,100,626,55
3482,781,0,250,710,0
793,72,14,100,218,21
808,615,16,250,611,36
4380,822,20,1000,749,11
1124,832,5,100,367,12
3354,825,18,250,478,22
4423,813,3,100,596,0
21,284,8,100,639,47
1118,202,6,750,462,2
4319,806,9,750,637,2
3903,613,15,500,413,5
4647,36,2,750,621,0
1121,403,17,250,451,26
1270,488,4,750,263,0
4276,569,11,1000,738,4
1119,689,2,500,18,0
1203,362,12,100,212,15
2956,28,17,250,47,0
2383,597,4,1000,446,0
1728,411,0,100,527,0
734,330,1,750,21,0
1216,950,19,500,683,24
3312,242,20,1000,933,15
278,40,19,500,763,27
39,722,4,750,293,2
2060,128,1,250,45,0
3876,251,10,750,64,0
3993,662,8,250,418,0
2821,343,6,100,440,0
3524,796,19,100,22,0
4943,894,18,250,216,0
3958,542,14,250,515,13
284,190,8,500,616,8
2815,856,14,1000,576,6
4094,442,1,750,888,0
3084,73,3,500,731,0
1254,993,20,100,197,35
4598,683,1,750,79,0
3908,865,11,250,678,15
450,436,17,250,571,36
390,83,13,100,961,112
633,742,19,100,278,51
2604,153,14,250,885,36
2939,56,14,500,542,8
4964,960,18,500,977,25
366,40,11,1000,965,9
251,754,17,750,272,6
2085,457,2,100,22,0
1615,984,17,500,773,23
3995,711,5,750,705,0
124,263,14,750,712,13
3134,306,1,750,577,0
1486,417,1,100,664,0
903,304,16,250,184,9
2766,662,6,500,331,0
4135,393,19,250,889,49
64,793,13,500,282,8
2129,671,18,750,775,16
2955,215,9,1000,68,0
298,91,2,100,685,5
290,537,18,750,884,20
2181,816,1,750,251,0
3175,897,7,100,118,0
1376,274,13,1000,465,4
4464,662,2,750,739,0
860,911,20,750,878,22
2081,658,11,1000,731,6
1934,524,11,250,696,22
858,424,5,750,840,4
4569,337,10,500,182,0
1477,695,20,750,468,11
2228,399,8,1000,891,4
2492,576,19,1000,234,2
2421,4,2,250,200,0
2131,701,19,500,282,7
3623,792,17,1000,900,12
3711,738,20,500,557,15
3695,244,13,750,363,1
1234,65,7,250,35,0
4509,831,11,100,628,26
3482,304,1,100,583,0
1762,13,11,250,793,25
4727,171,4,250,387,0
1913,551,3,250,262,0
2897,584,10,1000,130,0
3758,887,1,250,190,0
634,853,20,1000,483,9
4534,940,20,500,578,15
4287,732,0,250,342,0
623,426,2,750,869,1
1347,857,14,100,634,78
2601,524,18,1000,961,14
1993,114,0,1000,501,0
586,334,10,1000,408,3
3752,953,6,250,395,0
1076,929,9,250,62,1
4289,750,8,750,684,2
695,899,4,250,227,4
3520,980,20,750,742,15
3441,943,15,100,893,100
339,39,6,500,933,9
2401,77,8,750,613,3
4114,272,8,100,349,0
939,943,18,500,888,30
3264,156,9,100,232,0
1184,914,7,1000,558,3
919,698,3,250,800,6
408,437,20,750,749,19
2259,302,11,250,674,19
2004,181,17,1000,257,2
4772,927,13,500,764,11
1418,703,2,1000,704,0
4286,405,16,750,229,0
4882,682,8,1000,285,0
2570,459,3,750,805,0
2024,78,10,1000,810,5
1848,895,14,1000,860,10
3994,448,2,100,669,0
4018,981,16,750,720,10
3255,256,6,100,639,2
2905,861,7,100,562,13
146,415,1,100,119,3
1379,537,12,500,743,15
3423,568,9,750,413,1
2854,122,11,100,192,0
4205,918,9,100,456,4
1000,175,4,500,1000,4
1577,886,9,500,153,1
3581,826,13,1000,937,8
1474,5,10,1000,825,6
4380,418,6,250,1000,4
2800,831,11,500,683,10
3467,947,11,250,905,26
3115,197,4,1000,96,0
739,854,5,500,419,4
2370,883,20,100,930,162
4802,65,4,750,897,0
2233,307,7,1000,798,3
4095,807,2,500,432,0
4829,878,11,100,901,51
705,49,6,250,170,1
4451,72,16,750,740,9
3986,465,1,250,216,0
872,291,10,1000,634,5
2821,186,4,1000,127,0
2186,952,6,100,399,8
3638,157,18,250,529,22
4228,613,10,750,790,5
1528,610,17,1000,355,5
4857,415,2,1000,525,0
3870,92,2,100,369,0
346,811,20,100,266,55
4101,172,18,750,336,2
89,568,7,100,944,61
985,558,20,500,490,18
4841,682,18,250,122,0
4473,685,20,250,358,12
2517,79,4,750,399,0
4289,607,8,750,595,1
1748,594,0,500,310,0
205,893,1,100,792,7
1188,818,12,1000,190,2
3627,78,15,750,677,8
4135,514,3,100,832,0
3554,117,0,1000,827,0
2864,32,7,1000,134,0
1616,774,11,1000,375,3
1156,264,9,100,385,22
320,317,13,1000,342,4
2132,822,0,500,727,0
1434,329,16,250,391,19
2519,788,3,100,796,0
4674,309,9,100,337,0
2299,436,20,250,766,51
2067,72,0,100,374,0
4857,32,9,500,988,6
3809,593,19,250,99,0
4187,839,2,100,293,0
1861,138,9,1000,895,5
4756,274,2,100,68,0
1892,136,0,100,337,0
2291,843,12,100,238,12
2240,151,2,250,955,0
2737,517,6,1000,784,2
981,400,0,1000,602,0
293,508,11,1000,44,1
633,31,15,500,985,26
3174,774,10,100,309,4
2286,531,12,1000,528,4
3545,782,8,1000,916,4
623,878,15,500,436,13
1398,57,0,1000,443,0
996,220,2,750,152,0
3522,359,6,1000,357,0
4664,619,8,500,256,0
1071,436,12,750,650,9
3849,64,1,500,316,0
891,914,13,750,327,5
3474,251,14,250,66,0
2886,768,15,250,695,30
1562,549,1,500,817,0
4324,356,1,500,408,0
3516,151,20,100,416,45
4825,636,7,500,96,0
1749,205,3,1000,425,0
4510,64,8,500,357,0
2989,705,13,250,420,11
3961,207,20,100,462,50
3659,551,16,250,383,11
4465,362,7,750,219,0
3642,401,2,250,798,0
25,188,16,500,465,14
2165,193,0,500,568,0
4560,67,9,250,777,7
3861,853,1,100,492,0
2273,738,5,500,499,1
2917,237,9,750,117,0
2369,935,8,750,411,2
912,662,4,100,540,14
2254,960,16,1000,730,10
3038,830,17,750,487,7
4933,367,11,750,920,6
3128,44,17,750,946,16
2102,939,6,100,545,16
4492,455,3,750,454,0
2161,939,8,750,513,3
4155,163,3,1000,350,0
579,30,12,750,429,6
2554,344,9,100,386,9
215,428,4,750,962,4
4933,67,6,500,321,0
1127,597,9,500,635,9
1288,428,14,500,643,15
1182,843,6,100,393,16
3518,553,18,500,780,21
2817,39,0,250,660,0
1441,486,1,250,843,0
858,372,6,250,583,10
1642,668,18,250,758,48
3237,825,16,750,855,14
4064,186,7,100,185,0
617,278,6,100,497,21
2942,597,9,100,905,49
3743,494,1,1000,490,0
4264,243,10,1000,24,0
3106,417,16,750,630,9
617,804,7,750,227,2
2242,784,2,100,827,0
2063,512,19,250,466,27
2137,227,8,250,385,3
1951,604,5,750,205,0
4158,914,7,500,182,0
3578,951,20,250,334,15
1237,328,15,250,542,27
1231,278,10,250,857,27
905,601,15,1000,368,5
1251,25,9,100,471,25
988,302,1,1000,339,0
544,971,5,250,617,12
1502,193,2,1000,505,0
439,914,14,500,256,8
3876,3,10,100,737,28
181,799,9,1000,642,6
4987,668,13,750,459,2
4236,429,11,250,656,11
1727,234,11,1000,536,4
3366,63,1,1000,494,0
4048,1000,13,500,289,1
842,814,5,750,667,4
1911,120,6,750,653,2
4996,987,7,100,461,0
48,225,4,100,447,15
1008,873,19,750,880,21
39,733,0,750,383,0
1904,108,18,750,465,8
1601,571,11,100,398,30
3226,697,9,250,851,17
4604,947,7,100,382,0
1861,40,17,1000,822,11
2151,854,10,1000,965,7
4531,13,1,500,330,0
858,687,9,250,619,19
1830,821,8,500,607,6
4328,688,8,100,733,15
1235,345,1,1000,735,0
3203,307,12,500,496,5
4819,733,0,750,473,0
1506,528,10,750,491,5
1721,845,4,1000,101,0
4468,316,14,750,766,8
4296,665,17,1000,773,9
3710,722,9,100,3,0
1294,880,12,1000,594,6
3441,332,19,1000,994,15
3607,824,4,1000,184,0
3510,60,11,500,506,3
1201,674,17,100,507,76
1384,18,4,250,758,4
569,447,12,250,87,3
3504,464,18,250,354,12
4244,378,11,250,591,8
1796,685,18,1000,17,0
626,260,2,100,883,5
3777,651,1,750,632,0
1013,157,1,500,568,0
1721,190,3,500,702,0
1788,848,2,750,189,0
2423,169,20,100,497,72
178,222,5,500,885,7
381,922,5,100,548,27
1761,657,4,100,744,11
4454,926,2,250,125,0
2358,650,3,500,237,0
883,924,15,100,678,95
2830,377,12,1000,350,1
3187,649,12,100,97,0
4836,676,18,750,129,0
3871,301,18,500,69,0
2397,649,12,1000,719,6
4384,182,18,750,633,9
3940,721,14,100,810,73
3810,26,14,1000,706,5
3556,658,20,100,986,158
4640,62,0,250,484,0
4523,721,7,100,105,0
1487,663,14,750,923,15
800,873,14,1000,304,4
2085,773,17,250,118,2
3812,960,18,750,431,6
3316,690,13,250,141,0
2892,932,1,1000,30,0
1290,406,8,500,793,9
3761,246,0,250,221,0
4652,449,7,1000,506,0
3194,720,16,750,234,1
865,244,13,500,678,15
1785,168,11,500,875,14
4574,342,13,100,510,19
3815,714,10,1000,846,5
4107,949,5,750,602,0
2037,769,12,100,153,4
2256,892,10,100,158,1
3528,634,15,500,725,15
756,504,13,1000,727,8
3434,863,14,750,767,10
1866,5,19,100,9,0
648,322,14,250,586,29
2733,37,16,750,832,13
4017,31,2,100,940,0
4114,1,10,1000,214,0
3178,396,1,1000,717,0
2763,651,13,500,616,11
1728,92,16,250,737,38
1014,553,11,1000,243,2
3059,127,8,750,676,2
846,156,12,500,918,19
3858,36,19,500,860,23
3174,251,4,750,976,0
4730,128,15,1000,724,6
3741,203,2,500,888,0
4585,740,0,250,961,0
4455,544,20,750,833,16
4506,59,9,1000,529,0
4114,581,15,100,676,59
4159,393,1,1000,259,0
4639,831,2,500,154,0
17,233,11,1000,36,1
3640,43,15,750,376,2
2157,672,0,500,705,0
4093,919,5,250,41,0
1258,59,8,250,920,21
3406,473,3,500,597,0
1042,774,3,1000,524,1
3325,983,18,500,678,18
2299,864,1,750,872,0
2488,47,17,500,664,16
885,844,4,100,639,19
4652,171,0,750,313,0
4338,917,17,100,0,0
4004,632,2,100,216,0
3919,45,3,250,643,0
4020,693,3,500,201,0
4067,356,8,1000,110,0
214,308,6,750,732,5
1893,699,19,500,545,17
2068,601,17,250,41,0
2823,39,14,100,540,42
1589,353,9,750,737,6
3940,659,0,250,765,0
1989,864,19,1000,694,11
936,28,0,100,15,0
4992,823,12,100,591,23
465,875,16,750,180,4
4018,4,10,100,643,18
1789,395,12,750,93,0
2235,701,2,750,600,0
4200,380,15,1000,328,1
4655,746,15,500,609,9
181,38,15,100,849,117
3953,108,4,750,513,0
1650,259,20,100,114,8
2655,57,0,250,16,0
3147,103,9,250,555,6
345,483,16,100,746,113
1510,353,15,500,45,0
1722,941,16,250,172,7
1822,391,0,100,946,0
4780,456,20,500,624,15
2825,388,18,250,286,10
4826,600,19,250,904,48
3191,503,9,500,360,0
1690,487,5,1000,708,2
1036,38,4,1000,328,0
1626,803,17,250,650,38
2434,796,11,750,652,7
924,467,20,1000,687,13
3102,451,10,1000,971,6
3544,816,15,250,805,34
1366,739,3,500,50,0
4322,203,2,100,503,0
1990,71,0,1000,42,0
3615,897,5,100,77,0
2149,12,14,250,208,2
4864,76,9,250,434,0
4982,869,17,750,283,1
4180,680,5,100,984,4
3429,937,19,250,56,0
21,145,3,750,171,1
1739,826,3,250,443,0
2542,206,0,100,492,0
3003,859,12,100,815,68
3052,250,13,250,743,24
4044,487,19,100,521,58
3475,562,12,1000,572,3
2962,275,1,100,127,0
2976,848,8,750,322,0
544,543,19,100,404,73
278,869,19,1000,476,9
4201,997,8,100,685,16
440,190,5,500,274,2
1642,524,6,1000,351,1
2660,686,10,250,57,0
3446,283,11,750,489,2
4031,460,15,1000,554,4
1265,231,10,750,729,7
4764,143,10,250,896,14
3878,187,18,250,342,8
1495,819,16,250,211,10
377,123,9,250,567,17
3579,789,18,100,195,5
966,945,15,750,890,17
2956,668,2,100,527,0
4695,517,10,750,525,1
3528,757,20,1000,815,13
3564,900,14,100,610,53
140,731,20,250,967,76
1996,887,7,500,72,0
705,770,12,500,923,20
2325,77,20,1000,361,5
3185,817,1,1000,732,0
2787,845,13,100,888,87
633,120,1,1000,279,0
2866,498,8,750,30,0
820,37,5,250,179,0
163,512,16,500,597,19
2195,138,17,1000,20,0
1474,79,17,750,5,0
4484,121,2,250,971,0
4263,323,17,500,852,19
1524,595,15,1000,496,6
2850,447,15,500,192,1
2618,372,1,1000,335,0
2587,755,8,500,223,0
4609,328,16,100,285,0
1291,678,17,100,459,67
447,184,1,1000,831,0
3199,684,4,750,43,0
2384,42,11,100,958,72
4445,211,9,500,991,7
336,669,13,250,867,43
1265,602,11,1000,265,2
471,228,5,100,998,37
2920,592,14,500,497,8
3742,324,17,1000,164,0
1092,179,10,250,71,0
3783,428,12,500,211,0
2618,770,11,1000,327,1
4687,609,12,1000,881,6
1730,711,16,100,183,17
2816,533,17,500,208,2
2862,259,3,1000,64,0
4126,930,4,100,443,0
1182,979,6,500,650,6
4796,575,6,500,987,1
4624,526,4,500,887,0
238,113,9,250,31,0
1186,879,20,100,976,182
113,848,19,100,115,28
4586,168,1,250,801,0
4032,751,14,500,813,15
745,769,15,500,961,27
4425,257,8,750,680,1
2606,135,9,1000,508,2
278,381,4,250,699,9
3223,494,3,750,666,0
3338,906,14,500,33,0
4365,488,3,100,602,0
3566,198,4,500,652,0
256,114,17,250,849,54
2604,723,18,100,532,72
1348,280,9,750,86,0
985,846,20,500,303,11
1401,687,7,750,892,6
4272,567,4,250,718,0
1810,197,15,1000,601,7
1953,947,14,1000,628,7
1602,927,19,500,996,35
4305,324,1,750,510,0
3188,398,19,500,428,10
3115,404,4,250,520,0
3678,460,15,250,918,39
139,315,20,250,297,23
4866,516,10,1000,536,0
4416,269,18,250,769,36
4353,301,7,750,480,0
58,193,6,1000,53,0
3365,866,12,100,837,67
4213,778,9,250,398,0
4347,472,7,1000,110,0
3497,78,10,1000,136,0
4388,883,15,250,942,39
3875,621,20,750,784,16
2781,554,19,250,262,10
17,483,11,100,348,39
3755,885,18,750,114,0
2564,100,16,100,526,54
134,58,15,1000,324,4
4884,918,0,500,486,0
4606,894,14,750,550,5
1557,699,14,750,524,8
3971,339,9,750,190,0
3300,267,20,500,841,26
189,408,17,250,412,27
3704,647,11,750,92,0
4368,101,15,750,690,7
2480,162,3,1000,740,0
925,457,1,500,376,0
2832,324,9,750,179,0
1373,7,9,250,722,18
1632,500,2,100,846,0
2341,659,10,1000,113,0
2738,682,5,250,568,1
1782,600,14,1000,525,6
1236,728,4,500,794,4
1144,673,10,750,134,1
4342,156,17,250,906,41
1049,498,14,100,146,13
1686,682,6,100,409,10
4286,304,14,500,646,9
4137,5,7,500,552,0
685,361,6,750,89,0
4263,386,14,500,171,0
2473,837,10,750,166,0
3957,908,8,100,490,4
1088,979,4,500,122,1
4037,14,8,500,533,0
3644,391,11,100,904,58
4162,231,17,1000,4,0
3034,991,15,750,616,9
928,252,15,250,222,10
342,467,3,500,853,4
1748,421,0,750,611,0
1610,738,7,100,221,5
995,846,15,1000,429,6
580,388,18,100,49,6
2758,928,1,1000,730,0
1752,472,3,100,491,0
1593,87,2,250,799,0
47,231,18,750,314,7
2648,58,7,250,7,0
153,635,7,750,24,1
3604,261,3,100,331,0
4700,716,12,750,759,6
4156,513,10,250,518,4
3921,288,10,750,835,5
1388,943,18,250,80,4
2490,532,15,750,224,2
60,140,16,750,173,4
4613,40,8,100,710,4
3390,558,12,250,900,28
3540,60,11,1000,563,2
130,539,15,500,609,18
1724,630,8,100,225,5
4883,496,1,250,943,0
4260,197,7,100,214,0
1470,147,11,250,351,9
1596,894,4,1000,239,0
1212,729,4,100,121,0
4973,669,6,500,400,0
2716,645,2,100,357,0
4965,897,6,250,420,0
1967,435,5,500,200,0
4609,811,4,100,76,0
166,957,4,100,266,16
4438,204,14,1000,291,0
3764,754,12,1000,714,5
4362,532,14,100,2,0
733,95,19,100,131,17
3484,280,12,500,774,11
3256,92,16,250,387,11
3594,602,4,100,609,0
4246,20,20,250,854,48
3226,309,0,1000,454,0
2039,883,13,750,74,0
1433,478,7,750,332,1
884,875,12,500,884,19
4328,194,7,100,769,5
4222,693,5,1000,174,0
1173,326,10,500,682,11
1775,941,11,750,48,0
3684,60,7,1000,852,1
4662,727,5,500,847,0
4230,690,20,750,317,3
3048,280,17,100,108,0
1435,68,8,250,170,0
2365,837,4,500,672,1
1230,888,12,500,141,2
2072,202,7,100,290,0
2056,984,7,250,901,17
389,114,6,250,558,10
94,80,16,1000,960,14
4000,785,0,750,493,0
1408,905,14,1000,447,5
3627,906,11,100,923,65
4151,495,4,250,311,0
3825,525,8,250,335,0
1530,260,3,750,378,0
1362,17,11,100,736,60
4950,732,1,1000,206,0
3510,295,5,750,221,0
3339,386,18,500,149,0
4902,94,19,100,577,56
2682,204,17,1000,77,0
1880,860,2,500,322,0
4608,381,17,100,452,30
3203,940,13,750,160,0
4438,956,20,750,194,0
1796,338,14,500,67,0
2654,344,9,1000,28,0
4661,357,12,100,450,6
4966,422,5,750,963,0
469,157,10,1000,900,8
4118,892,3,250,993,0
2093,317,0,750,919,0
975,934,12,250,5,0
878,354,1,750,772,0
4678,663,20,750,931,18
2978,710,20,100,554,83
4944,665,9,750,147,0
4090,610,4,100,483,0
282,550,6,1000,630,3
322,378,7,750,6,0
3923,596,2,750,335,0
4176,789,8,250,691,6
4532,118,16,1000,662,6
1273,372,10,750,501,5
1098,855,0,100,305,0
2461,267,10,1000,101,0
3624,95,3,500,194,0
2934,708,7,1000,868,3
953,404,4,500,187,0
2493,520,2,1000,629,0
3741,522,20,250,460,22
1753,323,18,500,551,16
3229,620,8,500,58,0
3582,196,3,500,407,0
2489,428,3,500,453,0
786,233,8,1000,361,2
3312,725,5,500,786,1
952,946,2,500,176,0
1932,606,3,100,642,0
4609,260,17,500,958,22
4537,414,15,250,546,14
2108,92,0,750,133,0
4139,339,1,100,786,0
1824,353,5,100,483,5
771,997,13,250,633,31
2917,926,13,500,837,16
4969,218,13,100,177,0
1446,554,1,250,264,0
4170,562,15,100,171,0
4814,990,1,750,611,0
1289,928,8,500,746,10
2045,745,8,750,724,5
3368,907,12,750,232,0
